pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
CADM3__OPC|ADCY1__L6-eNeuron,CADM3,ADCY1,OPC,L6-eNeuron,18,124,0.0012240247
PDGFB__microglia|ADCY1__L6-eNeuron,PDGFB,ADCY1,microglia,L6-eNeuron,11,124,0.0012237745
HSPG2__endothelial|ADAM11__L6-eNeuron,HSPG2,ADAM11,endothelial,L6-eNeuron,33,124,0.0012237444
GAS6__L2-L3-eNeuron|ESAM__endothelial,GAS6,ESAM,L2-L3-eNeuron,endothelial,74,33,0.0012236604
IGFBP4__L2-L3-eNeuron|LRP1__astrocytes,IGFBP4,LRP1,L2-L3-eNeuron,astrocytes,74,31,0.0012235028
ICAM5__L6-eNeuron|LRP4__Olig,ICAM5,LRP4,L6-eNeuron,Olig,124,15,0.001223388
FN1__endothelial|EPHB6__L2-L3-eNeuron,FN1,EPHB6,endothelial,L2-L3-eNeuron,33,74,0.0012225294
BGN__mural|LINGO1__L4-eNeuron,BGN,LINGO1,mural,L4-eNeuron,10,96,0.0012223659
FNDC5__Lhx6-iNeuron|RTN4R__L5-eNeuron,FNDC5,RTN4R,Lhx6-iNeuron,L5-eNeuron,29,64,0.0012220641
CADM3__Adarb2-iNeuron|CNTNAP1__L4-eNeuron,CADM3,CNTNAP1,Adarb2-iNeuron,L4-eNeuron,18,96,0.001221959
ESAM__endothelial|CNTNAP1__Lhx6-iNeuron,ESAM,CNTNAP1,endothelial,Lhx6-iNeuron,33,29,0.0012214632
NID1__endothelial|ADORA1__L5-eNeuron,NID1,ADORA1,endothelial,L5-eNeuron,33,64,0.001221299
GLG1__L6-eNeuron|STX1A__L2-L3-eNeuron,GLG1,STX1A,L6-eNeuron,L2-L3-eNeuron,124,74,0.001220997
LAMC1__mural|KCNJ4__L5-eNeuron,LAMC1,KCNJ4,mural,L5-eNeuron,10,64,0.0012207195
GRN__Adarb2-iNeuron|SV2A__L4-eNeuron,GRN,SV2A,Adarb2-iNeuron,L4-eNeuron,18,96,0.0012205978
SLITRK1__L2-L3-eNeuron|CNTNAP1__L5-eNeuron,SLITRK1,CNTNAP1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0012200896
SEMA6B__Lhx6-iNeuron|EPHB6__L5-eNeuron,SEMA6B,EPHB6,Lhx6-iNeuron,L5-eNeuron,29,64,0.00121954
GRN__astrocytes|GABBR2__L5-eNeuron,GRN,GABBR2,astrocytes,L5-eNeuron,31,64,0.0012194596
