Sender,Receiver,score,Ligand,Receptor
microglia,L4-eNeuron,0.00010346126398767313,Adam15,Itgb1
mural,L4-eNeuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,L5-eNeuron,2.1620742547935523e-05,Adam15,Itgb1
Astrocyte,L5-eNeuron,0.0,Adam15,Itgb1
Choroid Plexus,L5-eNeuron,0.0,Adam15,Itgb1
Endothelial,L5-eNeuron,0.0,Adam15,Itgb1
Ependymal,L5-eNeuron,0.0,Adam15,Itgb1
Excitatory neuron,L5-eNeuron,0.0,Adam15,Itgb1
Interneuron,L5-eNeuron,0.0,Adam15,Itgb1
L2-L3-eNeuron,L5-eNeuron,5.940978922879167e-06,Adam15,Itgb1
L4-eNeuron,L5-eNeuron,5.996885658137977e-06,Adam15,Itgb1
L5-eNeuron,L5-eNeuron,0.0008039727131117966,Adam15,Itgb1
L6-eNeuron,L5-eNeuron,8.741479621787336e-05,Adam15,Itgb1
Lhx6-iNeuron,L5-eNeuron,6.769057893772936e-05,Adam15,Itgb1
Microglia,L5-eNeuron,0.0,Adam15,Itgb1
Neural Stem,L5-eNeuron,0.0,Adam15,Itgb1
Neuroblast,L5-eNeuron,0.0,Adam15,Itgb1
OPC,L5-eNeuron,3.603948947892429e-06,Adam15,Itgb1
Olig,L5-eNeuron,1.1979669064606718e-05,Adam15,Itgb1
Oligodendrocyte,L5-eNeuron,0.0,Adam15,Itgb1
astrocytes,L5-eNeuron,5.676802145556767e-07,Adam15,Itgb1
endothelial,L5-eNeuron,6.109547103023229e-05,Adam15,Itgb1
microglia,L5-eNeuron,6.827350526380228e-06,Adam15,Itgb1
mural,L5-eNeuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,L6-eNeuron,0.00026856691219005806,Adam15,Itgb1
Astrocyte,L6-eNeuron,0.0,Adam15,Itgb1
Choroid Plexus,L6-eNeuron,0.0,Adam15,Itgb1
Endothelial,L6-eNeuron,0.0,Adam15,Itgb1
Ependymal,L6-eNeuron,0.0,Adam15,Itgb1
Excitatory neuron,L6-eNeuron,0.0,Adam15,Itgb1
Interneuron,L6-eNeuron,0.0,Adam15,Itgb1
L2-L3-eNeuron,L6-eNeuron,2.0075935246002736e-05,Adam15,Itgb1
L4-eNeuron,L6-eNeuron,8.791477757589843e-06,Adam15,Itgb1
L5-eNeuron,L6-eNeuron,0.00018308423812332263,Adam15,Itgb1
L6-eNeuron,L6-eNeuron,0.0005848503792570033,Adam15,Itgb1
Lhx6-iNeuron,L6-eNeuron,7.493047331094763e-05,Adam15,Itgb1
Microglia,L6-eNeuron,0.0,Adam15,Itgb1
Neural Stem,L6-eNeuron,0.0,Adam15,Itgb1
Neuroblast,L6-eNeuron,0.0,Adam15,Itgb1
OPC,L6-eNeuron,7.83500914709697e-05,Adam15,Itgb1
Olig,L6-eNeuron,0.00010875775826839931,Adam15,Itgb1
Oligodendrocyte,L6-eNeuron,0.0,Adam15,Itgb1
astrocytes,L6-eNeuron,7.395551521582806e-07,Adam15,Itgb1
endothelial,L6-eNeuron,9.503144383959543e-05,Adam15,Itgb1
microglia,L6-eNeuron,0.0006826451313997079,Adam15,Itgb1
mural,L6-eNeuron,7.569511479345846e-06,Adam15,Itgb1
Adarb2-iNeuron,Lhx6-iNeuron,6.439388262980024e-06,Adam15,Itgb1
Astrocyte,Lhx6-iNeuron,0.0,Adam15,Itgb1
Choroid Plexus,Lhx6-iNeuron,0.0,Adam15,Itgb1
Endothelial,Lhx6-iNeuron,0.0,Adam15,Itgb1
Ependymal,Lhx6-iNeuron,0.0,Adam15,Itgb1
Excitatory neuron,Lhx6-iNeuron,0.0,Adam15,Itgb1
Interneuron,Lhx6-iNeuron,0.0,Adam15,Itgb1
L2-L3-eNeuron,Lhx6-iNeuron,0.00016516289708619778,Adam15,Itgb1
L4-eNeuron,Lhx6-iNeuron,2.5616484143446572e-05,Adam15,Itgb1
L5-eNeuron,Lhx6-iNeuron,0.00026860604091780957,Adam15,Itgb1
L6-eNeuron,Lhx6-iNeuron,0.00010169787799632737,Adam15,Itgb1
Lhx6-iNeuron,Lhx6-iNeuron,0.0024609516879994593,Adam15,Itgb1
Microglia,Lhx6-iNeuron,0.0,Adam15,Itgb1
Neural Stem,Lhx6-iNeuron,0.0,Adam15,Itgb1
Neuroblast,Lhx6-iNeuron,0.0,Adam15,Itgb1
OPC,Lhx6-iNeuron,1.7666507707521718e-07,Adam15,Itgb1
Olig,Lhx6-iNeuron,3.669633476087622e-06,Adam15,Itgb1
Oligodendrocyte,Lhx6-iNeuron,0.0,Adam15,Itgb1
astrocytes,Lhx6-iNeuron,1.0150792408203886e-06,Adam15,Itgb1
endothelial,Lhx6-iNeuron,3.6728934692927194e-05,Adam15,Itgb1
microglia,Lhx6-iNeuron,0.0,Adam15,Itgb1
mural,Lhx6-iNeuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,Microglia,0.0,Adam15,Itgb1
Astrocyte,Microglia,0.0,Adam15,Itgb1
Choroid Plexus,Microglia,0.0002418078310033142,Adam15,Itgb1
Endothelial,Microglia,0.0009627275766058289,Adam15,Itgb1
Ependymal,Microglia,1.1375341666524407e-05,Adam15,Itgb1
Excitatory neuron,Microglia,1.2945052610085238e-05,Adam15,Itgb1
Interneuron,Microglia,0.0,Adam15,Itgb1
L2-L3-eNeuron,Microglia,0.0,Adam15,Itgb1
L4-eNeuron,Microglia,0.0,Adam15,Itgb1
L5-eNeuron,Microglia,0.0,Adam15,Itgb1
L6-eNeuron,Microglia,0.0,Adam15,Itgb1
Lhx6-iNeuron,Microglia,0.0,Adam15,Itgb1
Microglia,Microglia,0.0009083150010110993,Adam15,Itgb1
Neural Stem,Microglia,0.0005016851095985634,Adam15,Itgb1
Neuroblast,Microglia,0.0003295464302242498,Adam15,Itgb1
OPC,Microglia,0.0,Adam15,Itgb1
Olig,Microglia,0.0,Adam15,Itgb1
