Sender,Receiver,Ligand,Receptor,LRscore
Lhx6-iNeuron,astrocytes,FNDC5,ITGB5,0.00154592742932413
Lhx6-iNeuron,endothelial,FNDC5,ITGB5,5.1898081473077e-4
Lhx6-iNeuron,mural,FNDC5,ITGB5,0.00124060431192494
Adarb2-iNeuron,mural,GAS6,AXL,2.0477093746586938e-7
L2-L3-eNeuron,mural,GAS6,AXL,7.128634268271194e-5
L4-eNeuron,mural,GAS6,AXL,1.0068495906844e-4
L5-eNeuron,mural,GAS6,AXL,6.6154023070703e-4
L6-eNeuron,mural,GAS6,AXL,6.6007615402145e-4
Lhx6-iNeuron,mural,GAS6,AXL,5.7181997249444e-4
astrocytes,mural,GAS6,AXL,1.752604380072e-4
endothelial,mural,GAS6,AXL,5.477348893274e-4
microglia,mural,GAS6,AXL,0.00463685397973225
astrocytes,L4-eNeuron,GDF10,ACVR1B,0.00114132743289501
Adarb2-iNeuron,microglia,GRN,TNFRSF1B,2.8777700707256e-4
L2-L3-eNeuron,microglia,GRN,TNFRSF1B,3.927754887102344e-5
L5-eNeuron,microglia,GRN,TNFRSF1B,1.6694458715404e-4
L6-eNeuron,microglia,GRN,TNFRSF1B,4.9601876662357e-4
Lhx6-iNeuron,microglia,GRN,TNFRSF1B,0
OPC,microglia,GRN,TNFRSF1B,6.3856422250864e-4
Olig,microglia,GRN,TNFRSF1B,6.962377591230898e-5
astrocytes,microglia,GRN,TNFRSF1B,1.5465290284711e-4
endothelial,microglia,GRN,TNFRSF1B,6.9060088572664e-5
mural,microglia,GRN,TNFRSF1B,8.5119012649588e-4
endothelial,OPC,HSPG2,DAG1,0.0011769806567626
endothelial,astrocytes,HSPG2,DAG1,0.00175259450032121
endothelial,mural,HSPG2,DAG1,2.2579855166537e-4
endothelial,mural,HSPG2,ITGB1,1.3021310341372e-4
astrocytes,OPC,LAMB2,DAG1,2.5233899098003e-4
astrocytes,endothelial,LAMB2,DAG1,2.3676176247155e-4
astrocytes,mural,LAMB2,DAG1,6.0652399999449e-4
astrocytes,mural,LAMB2,ITGA1,6.6908576969918e-4
astrocytes,mural,LAMB2,ITGB1,6.6522117758968e-4
astrocytes,Adarb2-iNeuron,LAMB2,SV2A,0.0011122216069060001
astrocytes,L2-L3-eNeuron,LAMB2,SV2A,1.8950008286017e-4
astrocytes,L4-eNeuron,LAMB2,SV2A,3.3207155950332e-4
astrocytes,L6-eNeuron,LAMB2,SV2A,4.1572258599615e-4
astrocytes,Lhx6-iNeuron,LAMB2,SV2A,4.1263660131873e-4
astrocytes,OPC,LAMB2,SV2A,1.3558005354595e-4
astrocytes,Olig,LAMB2,SV2A,9.0583477000332e-4
endothelial,OPC,LAMB2,DAG1,3.8591695237965e-4
endothelial,astrocytes,LAMB2,DAG1,9.2773695556967e-4
endothelial,mural,LAMB2,DAG1,1.616209751320514e-5
endothelial,mural,LAMB2,ITGA1,1.5051742528131251e-5
endothelial,mural,LAMB2,ITGB1,5.5161846188525e-4
endothelial,Adarb2-iNeuron,LAMB2,SV2A,8.9782322388047e-4
endothelial,L2-L3-eNeuron,LAMB2,SV2A,3.5281043700614e-4
endothelial,L4-eNeuron,LAMB2,SV2A,6.4281536934159e-4
endothelial,L6-eNeuron,LAMB2,SV2A,3.4781751993768e-4
endothelial,Lhx6-iNeuron,LAMB2,SV2A,6.8968153501225e-4
endothelial,OPC,LAMB2,SV2A,5.662784073629869e-5
endothelial,Olig,LAMB2,SV2A,9.3883675365719e-5
endothelial,astrocytes,LAMB2,SV2A,2.3053131264716e-4
mural,OPC,LAMB2,DAG1,0.00156118132164573
mural,astrocytes,LAMB2,DAG1,7.2323785187114e-4
mural,endothelial,LAMB2,DAG1,1.4495671709618e-4
mural,Adarb2-iNeuron,LAMB2,SV2A,0.00157104261356828
mural,L2-L3-eNeuron,LAMB2,SV2A,8.981620992871758e-5
mural,L4-eNeuron,LAMB2,SV2A,2.3104963841723942e-6
mural,L6-eNeuron,LAMB2,SV2A,4.7762116548897e-4
mural,Lhx6-iNeuron,LAMB2,SV2A,9.8042063506395e-4
mural,OPC,LAMB2,SV2A,0.00106207649066086
mural,Olig,LAMB2,SV2A,7.867558383174845e-5
mural,astrocytes,LAMB2,SV2A,1.7846944937232e-4
OPC,astrocytes,LAMC1,DAG1,5.2144341869904e-4
OPC,endothelial,LAMC1,DAG1,1.6949823292934762e-5
OPC,mural,LAMC1,DAG1,1.9529751950012885e-5
OPC,mural,LAMC1,ITGA1,1.4382119701012456e-5
OPC,mural,LAMC1,ITGB1,7.557771272260791e-6
OPC,Adarb2-iNeuron,LAMC1,SV2A,8.1665977505981e-4
OPC,L2-L3-eNeuron,LAMC1,SV2A,1.1166410127314e-4
OPC,L4-eNeuron,LAMC1,SV2A,6.744803373779209e-7
OPC,L6-eNeuron,LAMC1,SV2A,4.2759124623095e-4
OPC,Lhx6-iNeuron,LAMC1,SV2A,3.552550779231945e-5
OPC,Olig,LAMC1,SV2A,6.919887751695e-4
OPC,astrocytes,LAMC1,SV2A,3.699991472034e-4
astrocytes,OPC,LAMC1,DAG1,5.0865939016631e-4
astrocytes,endothelial,LAMC1,DAG1,2.0528565518277e-4
astrocytes,mural,LAMC1,DAG1,4.274233083913217e-6
astrocytes,mural,LAMC1,ITGA1,7.878452900343017e-6
astrocytes,mural,LAMC1,ITGB1,5.37611509884632e-7
astrocytes,Adarb2-iNeuron,LAMC1,SV2A,4.7196809118331e-4
astrocytes,L2-L3-eNeuron,LAMC1,SV2A,4.7888464478461626e-5
astrocytes,L4-eNeuron,LAMC1,SV2A,3.2815323545189e-4
astrocytes,L6-eNeuron,LAMC1,SV2A,3.0388618768937e-4
astrocytes,Lhx6-iNeuron,LAMC1,SV2A,1.8714174806429e-4
astrocytes,OPC,LAMC1,SV2A,2.1382867685185e-4
astrocytes,Olig,LAMC1,SV2A,8.0114960967785e-4
endothelial,OPC,LAMC1,DAG1,2.634378030782e-4
endothelial,astrocytes,LAMC1,DAG1,8.6230733834082e-4
endothelial,mural,LAMC1,DAG1,5.2018578740842e-4
endothelial,mural,LAMC1,ITGA1,5.1303963517739e-4
endothelial,mural,LAMC1,ITGB1,4.7091108584814e-4
endothelial,Adarb2-iNeuron,LAMC1,SV2A,0.00128343309664236
endothelial,L2-L3-eNeuron,LAMC1,SV2A,7.5303464036474e-4
endothelial,L4-eNeuron,LAMC1,SV2A,4.3318654734456e-4
endothelial,L6-eNeuron,LAMC1,SV2A,6.2714688525612e-4
endothelial,Lhx6-iNeuron,LAMC1,SV2A,9.8005846416433e-4
endothelial,OPC,LAMC1,SV2A,2.29620091199594e-5
endothelial,Olig,LAMC1,SV2A,2.3869840045928e-4
endothelial,astrocytes,LAMC1,SV2A,9.090365871416676e-5
mural,OPC,LAMC1,DAG1,9.3580517912128e-4
mural,astrocytes,LAMC1,DAG1,8.9309484832446e-4
mural,endothelial,LAMC1,DAG1,9.890045491627826e-5
mural,Adarb2-iNeuron,LAMC1,SV2A,0.00119711393766661
mural,L2-L3-eNeuron,LAMC1,SV2A,1.9267745435855e-4
mural,L4-eNeuron,LAMC1,SV2A,5.1776595967038e-4
mural,L6-eNeuron,LAMC1,SV2A,0.00177145381418255
mural,Lhx6-iNeuron,LAMC1,SV2A,8.0533533997674e-4
mural,OPC,LAMC1,SV2A,0.00121505981813609
mural,Olig,LAMC1,SV2A,1.0533934213747e-4
mural,astrocytes,LAMC1,SV2A,2.4339451449283e-4
Lhx6-iNeuron,Adarb2-iNeuron,LGI2,ADAM11,5.0353199234683e-4
Lhx6-iNeuron,L2-L3-eNeuron,LGI2,ADAM11,0.00124044105612926
Lhx6-iNeuron,L4-eNeuron,LGI2,ADAM11,2.5010454511813e-4
Lhx6-iNeuron,L6-eNeuron,LGI2,ADAM11,6.7179611447213e-4
Olig,Adarb2-iNeuron,LGI3,FLOT1,1.4089910002244e-4
Olig,L4-eNeuron,LGI3,FLOT1,1.1080221315403e-4
Olig,L6-eNeuron,LGI3,FLOT1,0.0020142927835913
Olig,OPC,LGI3,FLOT1,6.7499306238884e-4
Olig,astrocytes,LGI3,FLOT1,0.00253813396371805
Olig,L6-eNeuron,LGI3,STX1A,0.0024955842329412
