Sender,Receiver,Ligand,Receptor,LRscore
Endothelial,Macrophage,IL15,IL2RG,0.0020609852000973796
Bcell,Macrophage,IL16,CCR5,0.0026650138237421387
Tcell,Bcell,IL16,CD4,0
Endothelial,Macrophage,IL6,IL6ST,0
Malignant,Stroma,JAG2,NOTCH1,0
Malignant,Stroma,JAG2,NOTCH2,0.014493016521772647
Malignant,Stroma,JAG2,NOTCH3,0.025993065081846577
Bcell,Macrophage,JAM2,ITGB1,0.004965163989951235
Endothelial,Macrophage,JAM2,ITGAV,0.007961296836729682
Endothelial,Macrophage,JAM2,ITGB1,0.018051864840522944
Tcell,Bcell,JAM2,F11R,0
Tcell,Bcell,JAM2,ITGB1,0
Endothelial,Macrophage,JAM3,ITGB2,0.007829671911334735
Malignant,Stroma,JAM3,ITGB2,0.014492510651697954
Macrophage,Endothelial,KLRB1,CLEC2D,3.878424112742561e-4
Bcell,Macrophage,LAMA1,ITGA6,0
Bcell,Macrophage,LAMA1,ITGB1,0
Bcell,Macrophage,LAMA1,SDC2,0
Bcell,Macrophage,LAMA2,ITGA6,6.810112614342602e-4
Bcell,Macrophage,LAMA2,ITGB1,0.0068945349295122145
Tcell,Bcell,LAMA2,CD44,0
Tcell,Bcell,LAMA2,ITGA6,0
Tcell,Bcell,LAMA2,ITGB1,0
Tcell,Bcell,LAMA2,ITGB4,0
Malignant,Stroma,LAMA3,ITGA1,8.299759239777479e-4
Malignant,Stroma,LAMA3,ITGAV,0.00390797125813019
Malignant,Stroma,LAMA3,ITGB1,0.008621298498095632
Malignant,Stroma,LAMA3,ITGB4,0.0014749112535094129
Malignant,Stroma,LAMA5,ITGA1,0
Malignant,Stroma,LAMA5,ITGAV,0.05093933643121357
Malignant,Stroma,LAMA5,ITGB1,0.1059082754604188
Malignant,Stroma,LAMA5,ITGB4,0
Malignant,Stroma,LAMA5,SDC1,0
Malignant,Stroma,LAMB2,ITGA1,0
Malignant,Stroma,LAMB2,ITGAV,0.07818985280946084
Malignant,Stroma,LAMB2,ITGB1,0
Malignant,Stroma,LAMB2,ITGB4,0
Malignant,Stroma,LAMB3,CD151,0
Malignant,Stroma,LAMB3,ITGA1,0
Malignant,Stroma,LAMB3,ITGAV,0
Malignant,Stroma,LAMB3,ITGB1,0
Malignant,Stroma,LAMB3,ITGB4,0
Bcell,Macrophage,LAMC3,ITGA6,0
Bcell,Macrophage,LAMC3,ITGB1,0
Malignant,Stroma,LGALS3BP,ITGB1,0
Malignant,Stroma,LGALS3BP,VANGL1,0
Bcell,Macrophage,LGALS9,HAVCR2,0.004902169119093782
Endothelial,Macrophage,LGALS9,CD44,0.024537629939341544
Tcell,Bcell,LPL,CD44,0
Tcell,Bcell,LPL,SDC1,0
Malignant,Stroma,LRPAP1,SORT1,0
Malignant,Stroma,LTA,EDNRA,0
Tcell,Bcell,LTA,LTBR,0
Malignant,Stroma,LTBP3,ITGB5,0
Tcell,Bcell,LTB,CD40,0
Tcell,Bcell,LTB,LTBR,0
Malignant,Stroma,MDK,ITGB1,0
Malignant,Stroma,MDK,NOTCH2,0
Malignant,Endothelial,MDK,PTPRB,0.022443227776560548
Malignant,Stroma,MDK,SDC1,0
Malignant,Stroma,MDK,SDC3,0
Malignant,Stroma,MDK,SDC4,0
Malignant,Stroma,MIF,CXCR4,0
Malignant,Stroma,MMP7,CD151,0.034959265516983674
Malignant,Stroma,NAMPT,ITGA5,0.015498147852817508
Malignant,Stroma,NAMPT,ITGB1,0.04987389117815809
Bcell,Macrophage,NID1,ITGB1,0
Malignant,Stroma,NPNT,ITGB1,0.06780193157453936
Endothelial,Macrophage,PDGFB,ITGAV,0
Endothelial,Macrophage,PDGFB,S1PR1,4.3800061358113856e-4
Malignant,Stroma,PDGFB,ITGAV,0.010238171753630445
Malignant,Stroma,PDGFB,S1PR1,7.577176073072332e-4
Endothelial,Macrophage,PGF,NRP1,0.0015565747250719077
Malignant,Stroma,PIP,NPTN,0.014754393135565997
Bcell,Macrophage,PLA2G2A,ITGA5,0
Bcell,Macrophage,PLA2G2A,ITGB1,0
Malignant,Stroma,PLAT,ITGB2,0.0162434962680978
Endothelial,Macrophage,PROS1,AXL,0.003676104910566929
Malignant,Stroma,PSEN1,NCSTN,0
Malignant,Stroma,PSEN1,NOTCH1,0
Malignant,Stroma,PSEN1,NOTCH2,0
Malignant,Stroma,PSEN1,NOTCH3,0.05100505160977921
Malignant,Stroma,PTDSS1,SCARB1,0
Malignant,Stroma,PTN,ITGAV,0
Malignant,Stroma,PTN,PLXNB2,0
Malignant,Endothelial,PTN,PTPRB,0
Malignant,Stroma,PTN,SDC1,0
Malignant,Stroma,PTN,SDC3,0
Malignant,Stroma,PTN,SDC4,0
Tcell,Bcell,PTPRC,MRC1,0
Malignant,Stroma,PTPRK,PTPRK,0
Malignant,Stroma,ROBO1,ROBO1,0
Malignant,Stroma,RTN4,S1PR2,0
Endothelial,Macrophage,SELE,CD44,0.019284191615305087
Endothelial,Stroma,SELE,GLG1,0.016009949890201776
Bcell,Macrophage,SELPLG,ITGAM,0.0032701130459474384
Endothelial,Stroma,SELPLG,ESAM,0.00146942627814163
Endothelial,Macrophage,SELPLG,ITGB2,0.010438413275569117
Tcell,Bcell,SELPLG,ITGAM,0
Tcell,Bcell,SELPLG,ITGB2,0
Malignant,Stroma,SEMA3C,NRP1,0.01458456730303487
Malignant,Stroma,SEMA3C,NRP2,0
Malignant,Stroma,SEMA3C,PLXNA1,0
Malignant,Stroma,SEMA3C,PLXNA3,0
Malignant,Stroma,SEMA3C,PLXND1,0.04824327179787802
Bcell,Macrophage,SEMA3D,NRP2,0
Malignant,Stroma,SEMA3E,NRP1,0
Malignant,Stroma,SEMA3E,PLXND1,0
Malignant,Stroma,SEMA4A,NRP1,0.00447023343787531
Malignant,Stroma,SEMA4A,PLXNA1,0
Malignant,Stroma,SEMA4A,PLXNA3,0
Malignant,Stroma,SEMA4A,PLXNB1,0
Malignant,Stroma,SEMA4A,PLXNB2,0.022947700009815726
Malignant,Stroma,SEMA4A,PLXND1,0.01517251385614754
Malignant,Stroma,SEMA4C,PLXNB2,0.03641652913219994
Bcell,Macrophage,SEMA4D,CD72,0.0015755507190782709
Malignant,Stroma,SEMA5A,PLXNA1,0
Malignant,Stroma,SEMA5A,PLXNA3,0
Endothelial,Macrophage,SEMA6D,PLXNA1,0
Bcell,Macrophage,SEMA7A,ITGB1,0.003988530293344319
Tcell,Bcell,SEMA7A,ITGB1,0
Malignant,Stroma,SERTAD1,AR,0
Malignant,Stroma,SFRP1,FZD2,0
Malignant,Stroma,SIRPG,CD47,0
Bcell,Macrophage,SLIT2,APP,0.002940413626049886
Bcell,Macrophage,SLIT2,SDC1,0.003916184385229236
Tcell,Bcell,SLIT2,ROBO1,0
