Sender,Receiver,Ligand,Receptor,LRscore,all
Endothelial,Macrophage,HSPG2,ITGB1,11.804634024874783,Endothelial_HSPG2_Macrophage_ITGB1
Stroma,Malignant,FN1,MAGED1,14.283594122090772,Stroma_FN1_Malignant_MAGED1
Malignant,Stroma,ADAM15,ITGAV,7.903410630917698,Malignant_ADAM15_Stroma_ITGAV
Malignant,Stroma,GPI,AMFR,11.587302344096202,Malignant_GPI_Stroma_AMFR
Macrophage,Malignant,PSAP,PRLR,17.887933386833378,Macrophage_PSAP_Malignant_PRLR
Macrophage,Malignant,APOE,IL13RA1,13.977871776808866,Macrophage_APOE_Malignant_IL13RA1
Stroma,Malignant,FN1,FPR3,6.186099741996329,Stroma_FN1_Malignant_FPR3
Macrophage,Malignant,VIM,IL13RA1,10.272290446310851,Macrophage_VIM_Malignant_IL13RA1
Stroma,Malignant,TIMP3,SDC1,13.14369425404465,Stroma_TIMP3_Malignant_SDC1
Stroma,Malignant,THBS1,ATP6AP2,11.50907661004566,Stroma_THBS1_Malignant_ATP6AP2
Stroma,Malignant,THBS1,CD47,8.76151607995475,Stroma_THBS1_Malignant_CD47
Macrophage,Malignant,ITGB2,IFITM1,9.695420772422942,Macrophage_ITGB2_Malignant_IFITM1
Malignant,Stroma,TNFSF10,LAMP2,13.48646171102781,Malignant_TNFSF10_Stroma_LAMP2
Macrophage,Malignant,C1QA,CD9,19.008488525138336,Macrophage_C1QA_Malignant_CD9
Macrophage,Malignant,HLA-DMA,PRLR,9.618323410951545,Macrophage_HLA-DMA_Malignant_PRLR
Stroma,Malignant,THBS1,AMFR,10.681729148078876,Stroma_THBS1_Malignant_AMFR
Macrophage,Malignant,VIM,FPR3,5.962156004647024,Macrophage_VIM_Malignant_FPR3
Malignant,Macrophage,HLA-B,CD9,29.373353754797233,Malignant_HLA-B_Macrophage_CD9
Macrophage,Malignant,HLA-DRA,AMFR,18.390246182243633,Macrophage_HLA-DRA_Malignant_AMFR
Macrophage,Malignant,C1QA,PLXNB2,15.510552947483637,Macrophage_C1QA_Malignant_PLXNB2
Malignant,Macrophage,B2M,ITGB2,20.266195858069985,Malignant_B2M_Macrophage_ITGB2
Malignant,Macrophage,TNFSF10,TYROBP,14.163469961632478,Malignant_TNFSF10_Macrophage_TYROBP
Macrophage,Malignant,C1QB,PRLR,12.927652309114247,Macrophage_C1QB_Malignant_PRLR
Malignant,Macrophage,HLA-A,ITGB2,18.72690051911231,Malignant_HLA-A_Macrophage_ITGB2
Malignant,Stroma,SEMA4A,PLXNB2,3.635149666660252,Malignant_SEMA4A_Stroma_PLXNB2
Macrophage,Malignant,LYZ,FPR3,6.259252890194179,Macrophage_LYZ_Malignant_FPR3
Malignant,Stroma,PSEN1,NCSTN,5.831084147896452,Malignant_PSEN1_Stroma_NCSTN
Macrophage,Malignant,HLA-DRA,IFITM1,19.196454242568276,Macrophage_HLA-DRA_Malignant_IFITM1
Macrophage,Malignant,ITGB2,ADORA2A,8.695679804908417,Macrophage_ITGB2_Malignant_ADORA2A
Malignant,Macrophage,HLA-B,ITGB2,19.133738817173366,Malignant_HLA-B_Macrophage_ITGB2
Malignant,Macrophage,HLA-B,TYROBP,22.4320846857654,Malignant_HLA-B_Macrophage_TYROBP
Macrophage,Malignant,C1QB,IFITM1,14.519725235413384,Macrophage_C1QB_Malignant_IFITM1
Macrophage,Malignant,C1QA,IFITM1,14.322494326595319,Macrophage_C1QA_Malignant_IFITM1
Macrophage,Malignant,C1QA,PRLR,12.827279487748939,Macrophage_C1QA_Malignant_PRLR
Stroma,Macrophage,THBS1,FLOT1,11.490536945144452,Stroma_THBS1_Macrophage_FLOT1
Stroma,Malignant,THBS1,FLOT1,12.743487408820062,Stroma_THBS1_Malignant_FLOT1
Malignant,Macrophage,HLA-A,CD9,28.663786852615345,Malignant_HLA-A_Macrophage_CD9
Malignant,Macrophage,LGALS3BP,CD9,24.010437876738,Malignant_LGALS3BP_Macrophage_CD9
Malignant,Macrophage,B2M,CD9,31.072371149706697,Malignant_B2M_Macrophage_CD9
Malignant,Endothelial,APP,CAV1,4.0703436182617905,Malignant_APP_Endothelial_CAV1
Malignant,Stroma,APP,CAV1,3.341362030067979,Malignant_APP_Stroma_CAV1
Malignant,Stroma,JAM3,ITGB5,3.4203125766696987,Malignant_JAM3_Stroma_ITGB5
Malignant,Macrophage,HSPA1A,CD9,21.634715730013966,Malignant_HSPA1A_Macrophage_CD9
Macrophage,Malignant,HLA-DMA,FPR3,4.1272044289925445,Macrophage_HLA-DMA_Malignant_FPR3
Macrophage,Malignant,HLA-DRA,CD44,16.763554468306083,Macrophage_HLA-DRA_Malignant_CD44
