pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
GPI__Malignant|PTPRB__Endothelial,GPI,PTPRB,Malignant,Endothelial,2624,62,0.005912486
PTDSS1__Malignant|CD82__Stroma,PTDSS1,CD82,Malignant,Stroma,2624,768,0.00591129
HBEGF__Macrophage|ENO1__Malignant,HBEGF,ENO1,Macrophage,Malignant,315,2624,0.0059111714
SERTAD1__Malignant|IL2RG__Macrophage,SERTAD1,IL2RG,Malignant,Macrophage,2624,315,0.0058992608
CALM1__Malignant|TNFRSF25__Macrophage,CALM1,TNFRSF25,Malignant,Macrophage,2624,315,0.0058953664
SELPLG__Tcell|CD9__Malignant,SELPLG,CD9,Tcell,Malignant,9,2624,0.005894723
HLA-B__Malignant|BMPR1A__Bcell,HLA-B,BMPR1A,Malignant,Bcell,2624,20,0.005889663
COL9A2__Malignant|PTPRK__Stroma,COL9A2,PTPRK,Malignant,Stroma,2624,768,0.0058872774
MDK__Malignant|SDC1__Bcell,MDK,SDC1,Malignant,Bcell,2624,20,0.005882965
PTN__Malignant|TYROBP__Macrophage,PTN,TYROBP,Malignant,Macrophage,2624,315,0.005881176
CD47__Malignant|CADM1__Stroma,CD47,CADM1,Malignant,Stroma,2624,768,0.0058792704
CGA__Malignant|LAG3__Macrophage,CGA,LAG3,Malignant,Macrophage,2624,315,0.005878755
ALCAM__Malignant|IL27RA__Macrophage,ALCAM,IL27RA,Malignant,Macrophage,2624,315,0.0058787283
APP__Malignant|ACVR2A__Stroma,APP,ACVR2A,Malignant,Stroma,2624,768,0.005876562
ALCAM__Malignant|CD72__Macrophage,ALCAM,CD72,Malignant,Macrophage,2624,315,0.0058736624
CD44__Malignant|CADM1__Stroma,CD44,CADM1,Malignant,Stroma,2624,768,0.0058701667
ANG__Malignant|LAMA4__Stroma,ANG,LAMA4,Malignant,Stroma,2624,768,0.005855436
SERTAD1__Malignant|APP__Macrophage,SERTAD1,APP,Malignant,Macrophage,2624,315,0.0058525912
HLA-DMA__Macrophage|NOTCH2__Stroma,HLA-DMA,NOTCH2,Macrophage,Stroma,315,768,0.0058459844
ICAM2__Tcell|CD74__Malignant,ICAM2,CD74,Tcell,Malignant,9,2624,0.005844713
TGM2__Malignant|CD82__Stroma,TGM2,CD82,Malignant,Stroma,2624,768,0.005839046
SEMA3C__Malignant|FZD1__Stroma,SEMA3C,FZD1,Malignant,Stroma,2624,768,0.005837072
IGFBP4__Malignant|CLEC2D__Endothelial,IGFBP4,CLEC2D,Malignant,Endothelial,2624,62,0.005836516
COL9A3__Malignant|CD74__Stroma,COL9A3,CD74,Malignant,Stroma,2624,768,0.0058360705
MDK__Malignant|IL2RA__Macrophage,MDK,IL2RA,Malignant,Macrophage,2624,315,0.005833691
COL4A5__Malignant|SDC1__Stroma,COL4A5,SDC1,Malignant,Stroma,2624,768,0.0058318214
ADAM9__Malignant|IL2RG__Macrophage,ADAM9,IL2RG,Malignant,Macrophage,2624,315,0.0058316463
PTDSS1__Malignant|HAVCR2__Macrophage,PTDSS1,HAVCR2,Malignant,Macrophage,2624,315,0.005830619
APP__Malignant|CD72__Macrophage,APP,CD72,Malignant,Macrophage,2624,315,0.005830315
ADAM15__Malignant|F2RL2__Macrophage,ADAM15,F2RL2,Malignant,Macrophage,2624,315,0.0058302027
JAG2__Malignant|ERBB3__Stroma,JAG2,ERBB3,Malignant,Stroma,2624,768,0.0058299107
GPI__Malignant|TNFRSF25__Macrophage,GPI,TNFRSF25,Malignant,Macrophage,2624,315,0.005828967
APP__Malignant|IL27RA__Macrophage,APP,IL27RA,Malignant,Macrophage,2624,315,0.005826029
ITGB2__Macrophage|NOTCH2__Stroma,ITGB2,NOTCH2,Macrophage,Stroma,315,768,0.0058258465
THBS3__Malignant|NRP1__Macrophage,THBS3,NRP1,Malignant,Macrophage,2624,315,0.0058257356
TNXB__Endothelial|AMFR__Malignant,TNXB,AMFR,Endothelial,Malignant,62,2624,0.0058240416
WNT5A__Malignant|CD74__Stroma,WNT5A,CD74,Malignant,Stroma,2624,768,0.00582397
MIF__Malignant|BMPR1A__Bcell,MIF,BMPR1A,Malignant,Bcell,2624,20,0.0058223293
YBX1__Malignant|ITGB7__Macrophage,YBX1,ITGB7,Malignant,Macrophage,2624,315,0.005817995
LAMA3__Malignant|FLOT1__Stroma,LAMA3,FLOT1,Malignant,Stroma,2624,768,0.005814021
PLAT__Malignant|NOTCH2__Stroma,PLAT,NOTCH2,Malignant,Stroma,2624,768,0.005812937
PIP__Malignant|ITGA1__Stroma,PIP,ITGA1,Malignant,Stroma,2624,768,0.005812259
TGM2__Malignant|HAVCR2__Macrophage,TGM2,HAVCR2,Malignant,Macrophage,2624,315,0.005811492
SEMA3C__Malignant|EDNRA__Stroma,SEMA3C,EDNRA,Malignant,Stroma,2624,768,0.005809595
LTBP3__Malignant|PVR__Stroma,LTBP3,PVR,Malignant,Stroma,2624,768,0.005808022
TNFSF10__Malignant|TGFBR2__Bcell,TNFSF10,TGFBR2,Malignant,Bcell,2624,20,0.0058039464
