Sender,Receiver,Ligand,Receptor,LRscore,all
Macrophage,Malignant,SERPING1,ENO1,9.870587938545864,Macrophage_SERPING1_Malignant_ENO1
Stroma,Malignant,COL1A1,LAMP1,26.73028873505927,Stroma_COL1A1_Malignant_LAMP1
Stroma,Malignant,COL6A3,FLOT1,14.123581334322688,Stroma_COL6A3_Malignant_FLOT1
Stroma,Malignant,COL6A3,LAMP1,15.732119314395192,Stroma_COL6A3_Malignant_LAMP1
Macrophage,Malignant,GAS6,CD99,5.658540383941266,Macrophage_GAS6_Malignant_CD99
Macrophage,Malignant,GAS6,CD44,5.447568801921281,Macrophage_GAS6_Malignant_CD44
Macrophage,Malignant,SERPING1,APP,8.59701354957144,Macrophage_SERPING1_Malignant_APP
Stroma,Malignant,COL1A1,SDC4,23.548951592913387,Stroma_COL1A1_Malignant_SDC4
Stroma,Tcell,SPON2,ITGB1,8.464931214042519,Stroma_SPON2_Tcell_ITGB1
Stroma,Malignant,COL4A1,APP,10.316749309256473,Stroma_COL4A1_Malignant_APP
Stroma,Malignant,COL4A1,CD9,11.717897224825277,Stroma_COL4A1_Malignant_CD9
Stroma,Bcell,COL4A2,CD74,10.962911520613282,Stroma_COL4A2_Bcell_CD74
Stroma,Endothelial,COL4A2,CD74,10.612869393224178,Stroma_COL4A2_Endothelial_CD74
Stroma,Macrophage,COL4A2,CD74,11.844204419621178,Stroma_COL4A2_Macrophage_CD74
Stroma,Malignant,COL4A2,CD74,13.357337369653319,Stroma_COL4A2_Malignant_CD74
Stroma,Tcell,COL4A2,CD74,10.25950319719877,Stroma_COL4A2_Tcell_CD74
Macrophage,Bcell,CXCL12,CD74,10.462279504583753,Macrophage_CXCL12_Bcell_CD74
Macrophage,Endothelial,CXCL12,CD74,10.656885105556233,Macrophage_CXCL12_Endothelial_CD74
Macrophage,Malignant,CXCL12,CD74,10.63690716155785,Macrophage_CXCL12_Malignant_CD74
Macrophage,Tcell,CXCL12,CD74,10.180305317392937,Macrophage_CXCL12_Tcell_CD74
Stroma,Malignant,THY1,CD9,13.354856380753342,Stroma_THY1_Malignant_CD9
Stroma,Malignant,COL1A1,PTPRF,26.936472410126687,Stroma_COL1A1_Malignant_PTPRF
Stroma,Tcell,COL11A1,ITGB1,6.377269977373336,Stroma_COL11A1_Tcell_ITGB1
Stroma,Malignant,COL6A3,PTPRF,15.620681081590744,Stroma_COL6A3_Malignant_PTPRF
Stroma,Malignant,COL4A2,CD63,12.553321924729978,Stroma_COL4A2_Malignant_CD63
Stroma,Macrophage,COL4A2,CD81,9.907008993915925,Stroma_COL4A2_Macrophage_CD81
Stroma,Malignant,COL4A2,CD81,11.036006233983693,Stroma_COL4A2_Malignant_CD81
Macrophage,Malignant,CXCL12,CD63,10.208457644720113,Macrophage_CXCL12_Malignant_CD63
Stroma,Malignant,COL1A1,GFRA1,25.16461599087627,Stroma_COL1A1_Malignant_GFRA1
Macrophage,Malignant,GAS6,FLOT1,5.235534095562019,Macrophage_GAS6_Malignant_FLOT1
Stroma,Malignant,COL1A1,IL6ST,27.65148467687327,Stroma_COL1A1_Malignant_IL6ST
Stroma,Tcell,CLEC11A,ITGB1,5.029461666982989,Stroma_CLEC11A_Tcell_ITGB1
Stroma,Malignant,COL6A3,IL6ST,16.063654765840358,Stroma_COL6A3_Malignant_IL6ST
Macrophage,Malignant,CXCL12,CD151,10.625953280803934,Macrophage_CXCL12_Malignant_CD151
Stroma,Malignant,COL4A2,ITGB1,8.664250747851348,Stroma_COL4A2_Malignant_ITGB1
Stroma,Tcell,COL4A2,ITGB1,6.916651901963833,Stroma_COL4A2_Tcell_ITGB1
Stroma,Malignant,THY1,FLOT1,11.31162646406234,Stroma_THY1_Malignant_FLOT1
Stroma,Malignant,COL4A2,CD151,12.710177129736227,Stroma_COL4A2_Malignant_CD151
Macrophage,Malignant,CXCL12,CD81,8.813149715933951,Macrophage_CXCL12_Malignant_CD81
Macrophage,Stroma,CXCL12,CD81,8.550879835286437,Macrophage_CXCL12_Stroma_CD81
Macrophage,Malignant,SERPING1,CD9,10.042442701820386,Macrophage_SERPING1_Malignant_CD9
Stroma,Malignant,THY1,CD44,12.10666075718075,Stroma_THY1_Malignant_CD44
Stroma,Malignant,COL6A3,SDC1,14.818081739776279,Stroma_COL6A3_Malignant_SDC1
Stroma,Tcell,COL6A3,SDC1,11.426981933423075,Stroma_COL6A3_Tcell_SDC1
Stroma,Tcell,FN1,SDC1,19.86021506223811,Stroma_FN1_Tcell_SDC1
Endothelial,Malignant,HSPG2,SDC1,13.870434407015226,Endothelial_HSPG2_Malignant_SDC1
Endothelial,Stroma,HSPG2,SDC1,7.5271605972068665,Endothelial_HSPG2_Stroma_SDC1
Stroma,Tcell,HSPG2,SDC1,10.60700235724514,Stroma_HSPG2_Tcell_SDC1
Stroma,Malignant,COL1A1,SDC1,25.223435183589345,Stroma_COL1A1_Malignant_SDC1
Stroma,Tcell,COL1A1,SDC1,21.2355618769719,Stroma_COL1A1_Tcell_SDC1
Stroma,Malignant,COL6A3,SDC4,13.750771233835867,Stroma_COL6A3_Malignant_SDC4
Stroma,Tcell,COL1A2,SDC1,21.84373930767865,Stroma_COL1A2_Tcell_SDC1
Stroma,Malignant,THY1,PLXNB2,13.195540074646361,Stroma_THY1_Malignant_PLXNB2
Stroma,Malignant,COL4A1,PLXNB2,11.735828432298081,Stroma_COL4A1_Malignant_PLXNB2
Stroma,Malignant,THY1,LAMP1,12.385862799956406,Stroma_THY1_Malignant_LAMP1
Stroma,Tcell,COL6A1,SDC1,15.067160225802356,Stroma_COL6A1_Tcell_SDC1
Stroma,Tcell,COL6A2,SDC1,16.4499932114033,Stroma_COL6A2_Tcell_SDC1
Stroma,Tcell,THBS2,SDC1,8.205772612832652,Stroma_THBS2_Tcell_SDC1
Macrophage,Malignant,GAS6,LAMP1,5.658188287402907,Macrophage_GAS6_Malignant_LAMP1
Macrophage,Malignant,GAS6,PTPRF,5.92873953246094,Macrophage_GAS6_Malignant_PTPRF
Macrophage,Malignant,SERPING1,CD99,9.190229572760263,Macrophage_SERPING1_Malignant_CD99
Macrophage,Malignant,SERPING1,PLXNB2,10.192050810203215,Macrophage_SERPING1_Malignant_PLXNB2
Macrophage,Endothelial,GRN,TNFRSF1A,10.507119422842557,Macrophage_GRN_Endothelial_TNFRSF1A
Stroma,Tcell,THBS1,SDC1,10.627500426317416,Stroma_THBS1_Tcell_SDC1
Stroma,Malignant,THY1,GFRA1,11.699280216539579,Stroma_THY1_Malignant_GFRA1
Endothelial,Malignant,CXCL12,ITGB1,5.892482601197233,Endothelial_CXCL12_Malignant_ITGB1
Endothelial,Stroma,CXCL12,ITGB1,4.422034630120398,Endothelial_CXCL12_Stroma_ITGB1
Macrophage,Malignant,CXCL12,ITGB1,7.015622173494004,Macrophage_CXCL12_Malignant_ITGB1
Stroma,Tcell,CXCL12,ITGB1,4.655164027095167,Stroma_CXCL12_Tcell_ITGB1
Tcell,Malignant,CXCL12,ITGB1,6.802802396771318,Tcell_CXCL12_Malignant_ITGB1
Tcell,Stroma,CXCL12,ITGB1,4.348848509412107,Tcell_CXCL12_Stroma_ITGB1
Macrophage,Malignant,CXCL12,ENO1,8.564205555170636,Macrophage_CXCL12_Malignant_ENO1
Macrophage,Malignant,GAS6,GFRA1,5.5984869012869645,Macrophage_GAS6_Malignant_GFRA1
Macrophage,Malignant,GAS6,SDC4,5.046804501973797,Macrophage_GAS6_Malignant_SDC4
Macrophage,Malignant,SERPING1,CD44,8.817729713860992,Macrophage_SERPING1_Malignant_CD44
Stroma,Malignant,COL4A1,CD99,10.767736880682667,Stroma_COL4A1_Malignant_CD99
Stroma,Malignant,COL4A2,ENO1,10.384224103038234,Stroma_COL4A2_Malignant_ENO1
Stroma,Tcell,FBLN1,ITGB1,6.067646445223587,Stroma_FBLN1_Tcell_ITGB1
Tcell,Malignant,FBLN1,ITGB1,10.944427631125393,Tcell_FBLN1_Malignant_ITGB1
Tcell,Stroma,FBLN1,ITGB1,6.369080846837661,Tcell_FBLN1_Stroma_ITGB1
Stroma,Malignant,COL4A1,CD44,10.710683698002544,Stroma_COL4A1_Malignant_CD44
Stroma,Malignant,COL6A3,GFRA1,14.77081267066417,Stroma_COL6A3_Malignant_GFRA1
Stroma,Malignant,THY1,SDC4,11.030361817727899,Stroma_THY1_Malignant_SDC4
Endothelial,Malignant,LAMC1,ITGB1,11.0032432063937,Endothelial_LAMC1_Malignant_ITGB1
Endothelial,Stroma,LAMC1,ITGB1,7.290941797845909,Endothelial_LAMC1_Stroma_ITGB1
Stroma,Tcell,LAMC1,ITGB1,8.487756877902969,Stroma_LAMC1_Tcell_ITGB1
Stroma,Malignant,COL1A1,APLP2,24.13964604394019,Stroma_COL1A1_Malignant_APLP2
Stroma,Malignant,COL1A1,ERBB3,22.539842470387207,Stroma_COL1A1_Malignant_ERBB3
Stroma,Tcell,COMP,SDC1,8.109426343332073,Stroma_COMP_Tcell_SDC1
Stroma,Macrophage,COL1A1,TYROBP,11.468225379048729,Stroma_COL1A1_Macrophage_TYROBP
Macrophage,Malignant,CXCL12,APP,7.303523349729062,Macrophage_CXCL12_Malignant_APP
Macrophage,Malignant,GAS6,IL6ST,5.947457438596038,Macrophage_GAS6_Malignant_IL6ST
Macrophage,Malignant,GAS6,SDC1,5.04067807135133,Macrophage_GAS6_Malignant_SDC1
Stroma,Malignant,COL4A2,PLXNB2,10.146736590662142,Stroma_COL4A2_Malignant_PLXNB2
Stroma,Malignant,COL6A3,APLP2,14.247620004414904,Stroma_COL6A3_Malignant_APLP2
Stroma,Malignant,COL4A1,PTPRF,10.87816360535426,Stroma_COL4A1_Malignant_PTPRF
Stroma,Malignant,COL4A1,SDC4,9.636275436210479,Stroma_COL4A1_Malignant_SDC4
Stroma,Malignant,COL6A3,ERBB3,13.184994583845956,Stroma_COL6A3_Malignant_ERBB3
Malignant,Macrophage,COL9A2,CD81,13.252285363658089,Malignant_COL9A2_Macrophage_CD81
Malignant,Stroma,COL9A2,CD81,11.809854791673398,Malignant_COL9A2_Stroma_CD81
Stroma,Malignant,THY1,PTPRF,12.335639742278927,Stroma_THY1_Malignant_PTPRF
Stroma,Malignant,COL1A1,ERBB2,25.684483639270734,Stroma_COL1A1_Malignant_ERBB2
Stroma,Malignant,COL4A1,FLOT1,9.948060236456831,Stroma_COL4A1_Malignant_FLOT1
Stroma,Malignant,COL6A3,ERBB2,14.939667971916197,Stroma_COL6A3_Malignant_ERBB2
Stroma,Macrophage,COL6A3,TYROBP,6.479032727076234,Stroma_COL6A3_Macrophage_TYROBP
Macrophage,Malignant,SERPING1,FLOT1,8.531770101733267,Macrophage_SERPING1_Malignant_FLOT1
Stroma,Malignant,COL4A2,APP,8.894949742917076,Stroma_COL4A2_Malignant_APP
Malignant,Bcell,COL9A2,CD74,13.087133338753043,Malignant_COL9A2_Bcell_CD74
Malignant,Endothelial,COL9A2,CD74,11.79653092818728,Malignant_COL9A2_Endothelial_CD74
Malignant,Macrophage,COL9A2,CD74,15.925408981911676,Malignant_COL9A2_Macrophage_CD74
Malignant,Tcell,COL9A2,CD74,12.362168639817403,Malignant_COL9A2_Tcell_CD74
Macrophage,Malignant,CXCL12,CD9,8.473473121929084,Macrophage_CXCL12_Malignant_CD9
Macrophage,Malignant,SERPING1,GFRA1,9.369024898597251,Macrophage_SERPING1_Malignant_GFRA1
Macrophage,Malignant,SERPING1,PTPRF,9.46839813458861,Macrophage_SERPING1_Malignant_PTPRF
Stroma,Malignant,COL4A2,CD9,10.110919682166758,Stroma_COL4A2_Malignant_CD9
Macrophage,Malignant,GAS6,ERBB3,4.911833075159058,Macrophage_GAS6_Malignant_ERBB3
Macrophage,Malignant,SERPING1,SDC4,8.3147430714131,Macrophage_SERPING1_Malignant_SDC4
Stroma,Malignant,COL4A1,GFRA1,10.348948265081809,Stroma_COL4A1_Malignant_GFRA1
Stroma,Malignant,COL4A2,CD99,9.372961652130744,Stroma_COL4A2_Malignant_CD99
Stroma,Malignant,COL4A1,SDC1,10.502897638533703,Stroma_COL4A1_Malignant_SDC1
Stroma,Tcell,COL4A1,SDC1,8.045418885571738,Stroma_COL4A1_Tcell_SDC1
Macrophage,Malignant,CXCL12,CD44,7.481339771562626,Macrophage_CXCL12_Malignant_CD44
Macrophage,Malignant,CXCL12,CD99,7.92323628124655,Macrophage_CXCL12_Malignant_CD99
Macrophage,Malignant,GAS6,APLP2,5.10434132682024,Macrophage_GAS6_Malignant_APLP2
Stroma,Malignant,THY1,ERBB3,10.377663534562773,Stroma_THY1_Malignant_ERBB3
Macrophage,Malignant,SERPING1,LAMP1,9.194046908795805,Macrophage_SERPING1_Malignant_LAMP1
Stroma,Malignant,COL4A1,LAMP1,11.03562694803406,Stroma_COL4A1_Malignant_LAMP1
Stroma,Malignant,COL4A2,PTPRF,9.36010747428717,Stroma_COL4A2_Malignant_PTPRF
Stroma,Malignant,COL4A1,APLP2,9.932105537899535,Stroma_COL4A1_Malignant_APLP2
Stroma,Macrophage,COL4A1,TYROBP,4.296371892523027,Stroma_COL4A1_Macrophage_TYROBP
Macrophage,Malignant,CXCL12,PLXNB2,8.60786476026172,Macrophage_CXCL12_Malignant_PLXNB2
Stroma,Malignant,COL4A2,SDC1,9.125452909547846,Stroma_COL4A2_Malignant_SDC1
Stroma,Tcell,COL4A2,SDC1,6.1412779501582255,Stroma_COL4A2_Tcell_SDC1
Macrophage,Malignant,CXCL12,FLOT1,7.347871061874212,Macrophage_CXCL12_Malignant_FLOT1
Malignant,Macrophage,MDK,TYROBP,4.326911571664574,Malignant_MDK_Macrophage_TYROBP
Stroma,Malignant,LAMA4,CD63,6.5036247975780475,Stroma_LAMA4_Malignant_CD63
Stroma,Bcell,LAMA4,CD74,4.700461139400747,Stroma_LAMA4_Bcell_CD74
Stroma,Endothelial,LAMA4,CD74,3.7889474218928823,Stroma_LAMA4_Endothelial_CD74
Stroma,Macrophage,LAMA4,CD74,5.696012317670492,Stroma_LAMA4_Macrophage_CD74
Stroma,Malignant,LAMA4,CD74,6.932257509154893,Stroma_LAMA4_Malignant_CD74
Stroma,Tcell,LAMA4,CD74,4.099093320894079,Stroma_LAMA4_Tcell_CD74
Stroma,Macrophage,LAMA4,CD81,4.853831006822851,Stroma_LAMA4_Macrophage_CD81
Stroma,Malignant,LAMA4,CD81,5.720455670401813,Stroma_LAMA4_Malignant_CD81
Stroma,Malignant,COL4A2,FLOT1,8.610481305344532,Stroma_COL4A2_Malignant_FLOT1
Endothelial,Malignant,LAMA4,ITGB1,3.431921848160453,Endothelial_LAMA4_Malignant_ITGB1
Endothelial,Stroma,LAMA4,ITGB1,2.604223305065536,Endothelial_LAMA4_Stroma_ITGB1
Stroma,Malignant,LAMA4,ITGB1,4.485532432600154,Stroma_LAMA4_Malignant_ITGB1
Stroma,Tcell,LAMA4,ITGB1,2.703064234816504,Stroma_LAMA4_Tcell_ITGB1
Macrophage,Malignant,CXCL12,GFRA1,7.985589989365605,Macrophage_CXCL12_Malignant_GFRA1
Bcell,Endothelial,TGFB1,ENG,1.5810751375279442,Bcell_TGFB1_Endothelial_ENG
Bcell,Macrophage,TGFB1,ENG,3.2794250094705584,Bcell_TGFB1_Macrophage_ENG
Bcell,Malignant,TGFB1,ENG,2.825060162954347,Bcell_TGFB1_Malignant_ENG
Stroma,Tcell,TGFB1,ENG,1.6565262983608215,Stroma_TGFB1_Tcell_ENG
Tcell,Malignant,TGFB1,ENG,3.5957403888318584,Tcell_TGFB1_Malignant_ENG
Tcell,Stroma,TGFB1,ENG,1.8517103772414714,Tcell_TGFB1_Stroma_ENG
Stroma,Malignant,THY1,IL6ST,12.801738720640023,Stroma_THY1_Malignant_IL6ST
Endothelial,Malignant,LAMC1,CD44,11.816704131777593,Endothelial_LAMC1_Malignant_CD44
Endothelial,Stroma,LAMC1,CD44,8.717612024554262,Endothelial_LAMC1_Stroma_CD44
Stroma,Malignant,THY1,SDC1,12.378866813286056,Stroma_THY1_Malignant_SDC1
Stroma,Tcell,NPNT,ITGB1,11.627153283716972,Stroma_NPNT_Tcell_ITGB1
Stroma,Malignant,COL4A2,CD44,9.373752741448207,Stroma_COL4A2_Malignant_CD44
Stroma,Malignant,THY1,ERBB2,11.920852219756473,Stroma_THY1_Malignant_ERBB2
Stroma,Tcell,COL6A2,ITGAV,13.352637309093236,Stroma_COL6A2_Tcell_ITGAV
Stroma,Tcell,FN1,ITGAV,16.431415604521156,Stroma_FN1_Tcell_ITGAV
Stroma,Tcell,POSTN,ITGAV,12.787651494167111,Stroma_POSTN_Tcell_ITGAV
Stroma,Tcell,COL1A1,ITGAV,17.50957576022156,Stroma_COL1A1_Tcell_ITGAV
Stroma,Tcell,COL1A2,ITGAV,18.022755449140412,Stroma_COL1A2_Tcell_ITGAV
