"Barcode","x","y","Cluster"
"cell_291",5003.98,-573.52,"L6-eNeuron"
"cell_292",4872.74,-539.39,"L5-eNeuron"
"cell_293",4802.82,-420.87,"L5-eNeuron"
"cell_294",4800.77,-325.13,"Lhx6-iNeuron"
"cell_295",4685.65,-1042.1,"L4-eNeuron"
"cell_296",4653.69,-300.32,"L5-eNeuron"
"cell_297",4630.36,-713.42,"endothelial"
"cell_298",4570.03,-756.36,"astrocytes"
"cell_299",4554.35,-414.39,"L5-eNeuron"
"cell_300",4510.78,-257.98,"L5-eNeuron"
"cell_301",4278.02,-1904.6,"L5-eNeuron"
"cell_302",4219.92,-1273.9,"OPC"
"cell_303",4218.32,-1803.1,"Lhx6-iNeuron"
"cell_304",4212.72,-174.8,"L5-eNeuron"
"cell_305",4131.72,-1936,"L5-eNeuron"
"cell_306",3967.12,-695.89,"Olig"
"cell_307",3950.32,-602.98,"L4-eNeuron"
"cell_308",3957.12,-212.18,"L5-eNeuron"
"cell_309",3943.12,-355.41,"L6-eNeuron"
"cell_310",3871.12,-496.92,"Lhx6-iNeuron"
"cell_311",3774.32,-644.44,"L5-eNeuron"
"cell_312",3734.02,-374.85,"L6-eNeuron"
"cell_313",3632.42,-546.78,"L5-eNeuron"
"cell_314",3623.42,-411.24,"Lhx6-iNeuron"
"cell_315",4253.22,-1202.5,"endothelial"
"cell_316",4170.42,-1411.1,"OPC"
"cell_317",6953.87,-734.12,"L6-eNeuron"
"cell_318",6939.31,-1601.5,"OPC"
"cell_319",6921.24,-1495.3,"endothelial"
"cell_320",6840.72,-1033.3,"L6-eNeuron"
"cell_321",6831.4,-723.27,"L6-eNeuron"
"cell_322",6835.25,-863.07,"L6-eNeuron"
"cell_323",6800.38,-1135.9,"L6-eNeuron"
"cell_324",6774.13,-1297.7,"L6-eNeuron"
"cell_325",6724.11,-701.05,"L6-eNeuron"
"cell_326",6709.27,-854.93,"astrocytes"
"cell_327",6716.01,-352.2,"L6-eNeuron"
"cell_328",6687.35,-995.24,"mural"
"cell_329",6675.56,-1091.3,"L6-eNeuron"
"cell_330",6668.01,-1468.1,"Adarb2-iNeuron"
"cell_331",6600.69,-1285.5,"microglia"
"cell_332",6588.96,-1700.8,"Olig"
"cell_333",6561.13,-653.28,"L6-eNeuron"
"cell_334",6521.45,-726.66,"microglia"
"cell_335",6534.37,-1234,"L6-eNeuron"
"cell_336",6525.94,-877.47,"astrocytes"
"cell_337",6479.36,-432.99,"L6-eNeuron"
"cell_338",6486.6,-1599.6,"L6-eNeuron"
"cell_339",6469.98,-1184,"L6-eNeuron"
"cell_340",6474.36,-1715.2,"astrocytes"
"cell_341",6431.93,-966.9,"Olig"
"cell_342",6422.09,-856.05,"L6-eNeuron"
"cell_343",6406.68,-716.81,"L5-eNeuron"
"cell_344",6399.85,-1873.1,"L6-eNeuron"
"cell_345",6395.82,-366.31,"microglia"
"cell_346",6385.38,-1698,"L6-eNeuron"
"cell_347",6336.58,-1441.5,"astrocytes"
"cell_348",6360.15,-985.08,"L6-eNeuron"
"cell_349",6359.06,-1559.7,"L6-eNeuron"
"cell_350",6356.29,-482.59,"mural"
"cell_351",6345.2,-859.35,"L6-eNeuron"
"cell_352",6323.91,-1768.8,"L6-eNeuron"
"cell_353",6315.73,-1052.8,"L6-eNeuron"
"cell_354",6306.06,-469.33,"endothelial"
"cell_355",6275.53,-1909.7,"L6-eNeuron"
"cell_356",6257.98,-699.51,"L6-eNeuron"
"cell_357",6241.22,-993.52,"L5-eNeuron"
"cell_358",6246.83,-475.36,"astrocytes"
"cell_359",6233.12,-1725.6,"Adarb2-iNeuron"
"cell_360",6214.46,-775.74,"L6-eNeuron"
"cell_361",6224.08,-914.75,"mural"
"cell_362",6229.47,-1374.1,"endothelial"
"cell_363",6198.16,-847.67,"L6-eNeuron"
"cell_364",6211.56,-1124.1,"L6-eNeuron"
"cell_365",6192.55,-499,"L6-eNeuron"
"cell_366",6201.32,-336.15,"L6-eNeuron"
"cell_367",6179.26,-1539.6,"Olig"
"cell_368",6116.47,-1473.9,"L2-L3-eNeuron"
"cell_369",6087.17,-904.01,"L5-eNeuron"
"cell_370",6072.37,-520.84,"L6-eNeuron"
"cell_371",6038.97,-413.05,"L6-eNeuron"
"cell_372",6038.87,-1345.6,"L6-eNeuron"
"cell_373",6017.67,-1487.5,"Lhx6-iNeuron"
"cell_374",6005.87,-1010.8,"L5-eNeuron"
"cell_375",5996.07,-271.68,"L6-eNeuron"
"cell_376",5980.97,-475.72,"L6-eNeuron"
