combo
GAS6__L5-eNeuron|CADM3__L2-L3-eNeuron
GAS6__L5-eNeuron|CNTNAP1__L6-eNeuron
GAS6__L5-eNeuron|EPHB6__L6-eNeuron
GAS6__L5-eNeuron|GABBR2__L6-eNeuron
GAS6__L5-eNeuron|KCNJ4__L2-L3-eNeuron
GAS6__L5-eNeuron|KCNJ4__L4-eNeuron
GAS6__L5-eNeuron|LINGO1__L2-L3-eNeuron
GAS6__L5-eNeuron|LINGO1__L4-eNeuron
GAS6__L5-eNeuron|LINGO1__L6-eNeuron
GAS6__L5-eNeuron|RTN4R__L4-eNeuron
GAS6__L5-eNeuron|SLC17A7__L2-L3-eNeuron
GAS6__L5-eNeuron|SLC17A7__L4-eNeuron
GAS6__L5-eNeuron|SLC17A7__L6-eNeuron
GAS6__L5-eNeuron|STX1A__L2-L3-eNeuron
GAS6__L5-eNeuron|STX1A__L6-eNeuron
GAS6__L5-eNeuron|SV2A__L6-eNeuron
GLG1__L6-eNeuron|ADCY1__L2-L3-eNeuron
GLG1__L6-eNeuron|ADCY1__L5-eNeuron
GLG1__L6-eNeuron|ADORA1__L5-eNeuron
GLG1__L6-eNeuron|CADM3__L2-L3-eNeuron
GLG1__L6-eNeuron|CADM3__L5-eNeuron
GLG1__L6-eNeuron|CAP1__L5-eNeuron
GLG1__L6-eNeuron|CNTNAP1__L5-eNeuron
GLG1__L6-eNeuron|EPHB6__L5-eNeuron
GLG1__L6-eNeuron|FLOT1__L5-eNeuron
GLG1__L6-eNeuron|GABBR2__L5-eNeuron
GLG1__L6-eNeuron|GLG1__L5-eNeuron
GLG1__L6-eNeuron|HRH3__L5-eNeuron
GLG1__L6-eNeuron|KCNJ4__L2-L3-eNeuron
GLG1__L6-eNeuron|KCNJ4__L4-eNeuron
GLG1__L6-eNeuron|KCNJ4__L5-eNeuron
GLG1__L6-eNeuron|LINGO1__L2-L3-eNeuron
GLG1__L6-eNeuron|LINGO1__L4-eNeuron
GLG1__L6-eNeuron|LINGO1__L5-eNeuron
GLG1__L6-eNeuron|NLGN2__L5-eNeuron
GLG1__L6-eNeuron|RTN4R__L4-eNeuron
GLG1__L6-eNeuron|RTN4R__L5-eNeuron
GLG1__L6-eNeuron|SLC17A7__L2-L3-eNeuron
GLG1__L6-eNeuron|SLC17A7__L4-eNeuron
GLG1__L6-eNeuron|SLC17A7__L5-eNeuron
GLG1__L6-eNeuron|STX1A__L2-L3-eNeuron
GLG1__L6-eNeuron|STX1A__L5-eNeuron
GLG1__L6-eNeuron|SV2A__L5-eNeuron
ICAM5__L2-L3-eNeuron|ADCY1__L5-eNeuron
ICAM5__L2-L3-eNeuron|ADCY1__L6-eNeuron
ICAM5__L2-L3-eNeuron|ADORA1__L5-eNeuron
ICAM5__L2-L3-eNeuron|CADM3__L5-eNeuron
ICAM5__L2-L3-eNeuron|CAP1__L5-eNeuron
ICAM5__L2-L3-eNeuron|CNTNAP1__L5-eNeuron
ICAM5__L2-L3-eNeuron|CNTNAP1__L6-eNeuron
ICAM5__L2-L3-eNeuron|EPHB6__L5-eNeuron
ICAM5__L2-L3-eNeuron|EPHB6__L6-eNeuron
ICAM5__L2-L3-eNeuron|FLOT1__L5-eNeuron
ICAM5__L2-L3-eNeuron|GABBR2__L5-eNeuron
ICAM5__L2-L3-eNeuron|GABBR2__L6-eNeuron
ICAM5__L2-L3-eNeuron|GLG1__L5-eNeuron
ICAM5__L2-L3-eNeuron|HRH3__L5-eNeuron
ICAM5__L2-L3-eNeuron|KCNJ4__L4-eNeuron
ICAM5__L2-L3-eNeuron|KCNJ4__L5-eNeuron
ICAM5__L2-L3-eNeuron|LINGO1__L4-eNeuron
ICAM5__L2-L3-eNeuron|LINGO1__L5-eNeuron
ICAM5__L2-L3-eNeuron|LINGO1__L6-eNeuron
ICAM5__L2-L3-eNeuron|NLGN2__L5-eNeuron
ICAM5__L2-L3-eNeuron|RTN4R__L4-eNeuron
ICAM5__L2-L3-eNeuron|RTN4R__L5-eNeuron
ICAM5__L2-L3-eNeuron|SLC17A7__L4-eNeuron
ICAM5__L2-L3-eNeuron|SLC17A7__L5-eNeuron
ICAM5__L2-L3-eNeuron|SLC17A7__L6-eNeuron
ICAM5__L2-L3-eNeuron|STX1A__L5-eNeuron
ICAM5__L2-L3-eNeuron|STX1A__L6-eNeuron
ICAM5__L2-L3-eNeuron|SV2A__L5-eNeuron
ICAM5__L2-L3-eNeuron|SV2A__L6-eNeuron
ICAM5__L6-eNeuron|ADCY1__L2-L3-eNeuron
ICAM5__L6-eNeuron|ADCY1__L5-eNeuron
ICAM5__L6-eNeuron|ADORA1__L5-eNeuron
ICAM5__L6-eNeuron|CADM3__L2-L3-eNeuron
ICAM5__L6-eNeuron|CADM3__L5-eNeuron
ICAM5__L6-eNeuron|CAP1__L5-eNeuron
ICAM5__L6-eNeuron|CNTNAP1__L5-eNeuron
ICAM5__L6-eNeuron|EPHB6__L5-eNeuron
ICAM5__L6-eNeuron|FLOT1__L5-eNeuron
ICAM5__L6-eNeuron|GABBR2__L5-eNeuron
ICAM5__L6-eNeuron|GLG1__L5-eNeuron
ICAM5__L6-eNeuron|HRH3__L5-eNeuron
ICAM5__L6-eNeuron|KCNJ4__L2-L3-eNeuron
ICAM5__L6-eNeuron|KCNJ4__L4-eNeuron
ICAM5__L6-eNeuron|KCNJ4__L5-eNeuron
ICAM5__L6-eNeuron|LINGO1__L2-L3-eNeuron
ICAM5__L6-eNeuron|LINGO1__L4-eNeuron
ICAM5__L6-eNeuron|LINGO1__L5-eNeuron
ICAM5__L6-eNeuron|NLGN2__L5-eNeuron
ICAM5__L6-eNeuron|RTN4R__L4-eNeuron
ICAM5__L6-eNeuron|RTN4R__L5-eNeuron
ICAM5__L6-eNeuron|SLC17A7__L2-L3-eNeuron
ICAM5__L6-eNeuron|SLC17A7__L4-eNeuron
ICAM5__L6-eNeuron|SLC17A7__L5-eNeuron
ICAM5__L6-eNeuron|STX1A__L2-L3-eNeuron
ICAM5__L6-eNeuron|STX1A__L5-eNeuron
ICAM5__L6-eNeuron|SV2A__L5-eNeuron
IGFBP4__L2-L3-eNeuron|ADCY1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|ADCY1__L6-eNeuron
IGFBP4__L2-L3-eNeuron|ADORA1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|CADM3__L5-eNeuron
IGFBP4__L2-L3-eNeuron|CAP1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|CNTNAP1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|CNTNAP1__L6-eNeuron
IGFBP4__L2-L3-eNeuron|EPHB6__L5-eNeuron
IGFBP4__L2-L3-eNeuron|EPHB6__L6-eNeuron
IGFBP4__L2-L3-eNeuron|FLOT1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|GABBR2__L5-eNeuron
IGFBP4__L2-L3-eNeuron|GABBR2__L6-eNeuron
IGFBP4__L2-L3-eNeuron|GLG1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|HRH3__L5-eNeuron
IGFBP4__L2-L3-eNeuron|KCNJ4__L4-eNeuron
IGFBP4__L2-L3-eNeuron|KCNJ4__L5-eNeuron
IGFBP4__L2-L3-eNeuron|LINGO1__L4-eNeuron
IGFBP4__L2-L3-eNeuron|LINGO1__L5-eNeuron
IGFBP4__L2-L3-eNeuron|LINGO1__L6-eNeuron
IGFBP4__L2-L3-eNeuron|NLGN2__L5-eNeuron
IGFBP4__L2-L3-eNeuron|RTN4R__L4-eNeuron
IGFBP4__L2-L3-eNeuron|RTN4R__L5-eNeuron
IGFBP4__L2-L3-eNeuron|SLC17A7__L4-eNeuron
IGFBP4__L2-L3-eNeuron|SLC17A7__L5-eNeuron
IGFBP4__L2-L3-eNeuron|SLC17A7__L6-eNeuron
IGFBP4__L2-L3-eNeuron|STX1A__L5-eNeuron
IGFBP4__L2-L3-eNeuron|STX1A__L6-eNeuron
IGFBP4__L2-L3-eNeuron|SV2A__L5-eNeuron
IGFBP4__L2-L3-eNeuron|SV2A__L6-eNeuron
LRRC4B__L6-eNeuron|ADCY1__L2-L3-eNeuron
LRRC4B__L6-eNeuron|ADCY1__L5-eNeuron
LRRC4B__L6-eNeuron|ADORA1__L5-eNeuron
LRRC4B__L6-eNeuron|CADM3__L2-L3-eNeuron
LRRC4B__L6-eNeuron|CADM3__L5-eNeuron
LRRC4B__L6-eNeuron|CAP1__L5-eNeuron
LRRC4B__L6-eNeuron|CNTNAP1__L5-eNeuron
LRRC4B__L6-eNeuron|EPHB6__L5-eNeuron
LRRC4B__L6-eNeuron|FLOT1__L5-eNeuron
LRRC4B__L6-eNeuron|GABBR2__L5-eNeuron
LRRC4B__L6-eNeuron|GLG1__L5-eNeuron
LRRC4B__L6-eNeuron|HRH3__L5-eNeuron
LRRC4B__L6-eNeuron|KCNJ4__L2-L3-eNeuron
LRRC4B__L6-eNeuron|KCNJ4__L4-eNeuron
LRRC4B__L6-eNeuron|KCNJ4__L5-eNeuron
LRRC4B__L6-eNeuron|LINGO1__L2-L3-eNeuron
LRRC4B__L6-eNeuron|LINGO1__L4-eNeuron
LRRC4B__L6-eNeuron|LINGO1__L5-eNeuron
LRRC4B__L6-eNeuron|NLGN2__L5-eNeuron
LRRC4B__L6-eNeuron|RTN4R__L4-eNeuron
LRRC4B__L6-eNeuron|RTN4R__L5-eNeuron
LRRC4B__L6-eNeuron|SLC17A7__L2-L3-eNeuron
LRRC4B__L6-eNeuron|SLC17A7__L4-eNeuron
LRRC4B__L6-eNeuron|SLC17A7__L5-eNeuron
LRRC4B__L6-eNeuron|STX1A__L2-L3-eNeuron
LRRC4B__L6-eNeuron|STX1A__L5-eNeuron
LRRC4B__L6-eNeuron|SV2A__L5-eNeuron
NLGN2__L6-eNeuron|ADCY1__L2-L3-eNeuron
NLGN2__L6-eNeuron|ADCY1__L5-eNeuron
NLGN2__L6-eNeuron|ADORA1__L5-eNeuron
NLGN2__L6-eNeuron|CADM3__L2-L3-eNeuron
NLGN2__L6-eNeuron|CADM3__L5-eNeuron
NLGN2__L6-eNeuron|CAP1__L5-eNeuron
NLGN2__L6-eNeuron|CNTNAP1__L5-eNeuron
NLGN2__L6-eNeuron|EPHB6__L5-eNeuron
NLGN2__L6-eNeuron|FLOT1__L5-eNeuron
NLGN2__L6-eNeuron|GABBR2__L5-eNeuron
NLGN2__L6-eNeuron|GLG1__L5-eNeuron
NLGN2__L6-eNeuron|HRH3__L5-eNeuron
NLGN2__L6-eNeuron|KCNJ4__L2-L3-eNeuron
NLGN2__L6-eNeuron|KCNJ4__L4-eNeuron
NLGN2__L6-eNeuron|KCNJ4__L5-eNeuron
NLGN2__L6-eNeuron|LINGO1__L2-L3-eNeuron
NLGN2__L6-eNeuron|LINGO1__L4-eNeuron
NLGN2__L6-eNeuron|LINGO1__L5-eNeuron
NLGN2__L6-eNeuron|NLGN2__L5-eNeuron
NLGN2__L6-eNeuron|RTN4R__L4-eNeuron
NLGN2__L6-eNeuron|RTN4R__L5-eNeuron
NLGN2__L6-eNeuron|SLC17A7__L2-L3-eNeuron
NLGN2__L6-eNeuron|SLC17A7__L4-eNeuron
NLGN2__L6-eNeuron|SLC17A7__L5-eNeuron
NLGN2__L6-eNeuron|STX1A__L2-L3-eNeuron
NLGN2__L6-eNeuron|STX1A__L5-eNeuron
NLGN2__L6-eNeuron|SV2A__L5-eNeuron
NTRK3__L6-eNeuron|ADCY1__L2-L3-eNeuron
NTRK3__L6-eNeuron|ADCY1__L5-eNeuron
NTRK3__L6-eNeuron|ADORA1__L5-eNeuron
NTRK3__L6-eNeuron|CADM3__L2-L3-eNeuron
NTRK3__L6-eNeuron|CADM3__L5-eNeuron
NTRK3__L6-eNeuron|CAP1__L5-eNeuron
NTRK3__L6-eNeuron|CNTNAP1__L5-eNeuron
NTRK3__L6-eNeuron|EPHB6__L5-eNeuron
NTRK3__L6-eNeuron|FLOT1__L5-eNeuron
NTRK3__L6-eNeuron|GABBR2__L5-eNeuron
NTRK3__L6-eNeuron|GLG1__L5-eNeuron
