Sender,Receiver,Ligand,Receptor,LRscore,all
microglia,astrocytes,PDGFB,S1PR1,9.25955129859639,microglia_PDGFB_astrocytes_S1PR1
microglia,endothelial,PDGFB,S1PR1,7.161169821741868,microglia_PDGFB_endothelial_S1PR1
microglia,mural,PDGFB,S1PR1,5.025175084848104,microglia_PDGFB_mural_S1PR1
microglia,endothelial,SELPLG,ESAM,11.256318104475254,microglia_SELPLG_endothelial_ESAM
microglia,mural,SELPLG,ESAM,11.32223651450818,microglia_SELPLG_mural_ESAM
OPC,Olig,SEMA5A,PLXNB3,14.3512075893849,OPC_SEMA5A_Olig_PLXNB3
Olig,OPC,SEMA5A,PLXNB3,15.083764985786274,Olig_SEMA5A_OPC_PLXNB3
Olig,mural,SEMA7A,ITGB1,4.100731807254234,Olig_SEMA7A_mural_ITGB1
endothelial,mural,SEMA7A,ITGB1,4.561445565020789,endothelial_SEMA7A_mural_ITGB1
Olig,astrocytes,TGFA,EGFR,6.613087019567368,Olig_TGFA_astrocytes_EGFR
OPC,mural,TNR,ITGB1,2.0626377770031916,OPC_TNR_mural_ITGB1
OPC,astrocytes,TNR,SDC4,13.134766119938837,OPC_TNR_astrocytes_SDC4
OPC,endothelial,TNR,SDC4,8.449083399141287,OPC_TNR_endothelial_SDC4
OPC,mural,TNR,SDC4,2.0719292800270477,OPC_TNR_mural_SDC4
OPC,astrocytes,VCAN,EGFR,7.481975585592277,OPC_VCAN_astrocytes_EGFR
OPC,mural,VCAN,ITGB1,2.1328558906214456,OPC_VCAN_mural_ITGB1
astrocytes,mural,VEGFA,ITGB1,5.353361476324,astrocytes_VEGFA_mural_ITGB1
mural,astrocytes,BGN,FGFR3,8.500808863844096,mural_BGN_astrocytes_FGFR3
Olig,mural,COL4A2,ITGB1,3.8240899353262234,Olig_COL4A2_mural_ITGB1
endothelial,mural,COL4A2,ITGB1,4.104475806239697,endothelial_COL4A2_mural_ITGB1
Olig,OPC,COL4A2,SDC4,13.388367040629372,Olig_COL4A2_OPC_SDC4
Olig,astrocytes,COL4A2,SDC4,16.0473819967307,Olig_COL4A2_astrocytes_SDC4
Olig,endothelial,COL4A2,SDC4,13.468181111482648,Olig_COL4A2_endothelial_SDC4
Olig,mural,COL4A2,SDC4,13.426049325848588,Olig_COL4A2_mural_SDC4
endothelial,OPC,COL4A2,SDC4,11.591958662544256,endothelial_COL4A2_OPC_SDC4
endothelial,astrocytes,COL4A2,SDC4,14.010459637461416,endothelial_COL4A2_astrocytes_SDC4
endothelial,mural,COL4A2,SDC4,9.10920002642607,endothelial_COL4A2_mural_SDC4
mural,OPC,COL4A2,SDC4,9.006996513062298,mural_COL4A2_OPC_SDC4
mural,astrocytes,COL4A2,SDC4,13.95684576509861,mural_COL4A2_astrocytes_SDC4
mural,endothelial,COL4A2,SDC4,12.908886495133618,mural_COL4A2_endothelial_SDC4
Olig,OPC,COL5A3,SDC3,4.967394150320228,Olig_COL5A3_OPC_SDC3
Olig,endothelial,COL5A3,SDC3,8.18375662829633,Olig_COL5A3_endothelial_SDC3
Olig,mural,COL5A3,SDC3,7.560578049374911,Olig_COL5A3_mural_SDC3
OPC,mural,CSPG4,ITGB1,3.996132966015438,OPC_CSPG4_mural_ITGB1
Olig,astrocytes,DLK2,NOTCH1,8.434509026734249,Olig_DLK2_astrocytes_NOTCH1
Olig,endothelial,DLK2,NOTCH1,8.79240397365607,Olig_DLK2_endothelial_NOTCH1
Olig,mural,DLK2,NOTCH1,5.014379345127667,Olig_DLK2_mural_NOTCH1
endothelial,astrocytes,DLL4,NOTCH1,5.406841427189146,endothelial_DLL4_astrocytes_NOTCH1
endothelial,mural,DLL4,NOTCH1,4.159099307113154,endothelial_DLL4_mural_NOTCH1
Olig,OPC,AGRN,LRP4,20.085012387287204,Olig_AGRN_OPC_LRP4
Olig,astrocytes,AGRN,LRP4,14.715136575615176,Olig_AGRN_astrocytes_LRP4
Olig,endothelial,AGRN,LRP4,11.726015886523033,Olig_AGRN_endothelial_LRP4
astrocytes,OPC,AGRN,LRP4,14.002183906407273,astrocytes_AGRN_OPC_LRP4
astrocytes,Olig,AGRN,LRP4,13.856379794257048,astrocytes_AGRN_Olig_LRP4
astrocytes,endothelial,AGRN,LRP4,7.349018247397737,astrocytes_AGRN_endothelial_LRP4
endothelial,OPC,AGRN,LRP4,10.311463140559981,endothelial_AGRN_OPC_LRP4
endothelial,Olig,AGRN,LRP4,10.677074077827518,endothelial_AGRN_Olig_LRP4
endothelial,astrocytes,AGRN,LRP4,10.077917263200131,endothelial_AGRN_astrocytes_LRP4
mural,OPC,AGRN,LRP4,4.166503228155108,mural_AGRN_OPC_LRP4
mural,Olig,AGRN,LRP4,7.986257188287187,mural_AGRN_Olig_LRP4
mural,astrocytes,AGRN,LRP4,9.677186384194327,mural_AGRN_astrocytes_LRP4
mural,endothelial,AGRN,LRP4,7.111513260538231,mural_AGRN_endothelial_LRP4
OPC,microglia,GRN,TNFRSF1B,9.019433337408291,OPC_GRN_microglia_TNFRSF1B
Olig,microglia,GRN,TNFRSF1B,8.089152063695174,Olig_GRN_microglia_TNFRSF1B
astrocytes,microglia,GRN,TNFRSF1B,7.391848857932789,astrocytes_GRN_microglia_TNFRSF1B
endothelial,microglia,GRN,TNFRSF1B,10.591178648139753,endothelial_GRN_microglia_TNFRSF1B
mural,microglia,GRN,TNFRSF1B,7.551921521537204,mural_GRN_microglia_TNFRSF1B
endothelial,OPC,HSPG2,DAG1,5.424306574930819,endothelial_HSPG2_OPC_DAG1
endothelial,astrocytes,HSPG2,DAG1,9.914682164040059,endothelial_HSPG2_astrocytes_DAG1
endothelial,mural,HSPG2,DAG1,7.263236914392945,endothelial_HSPG2_mural_DAG1
endothelial,mural,HSPG2,ITGB1,3.0467699059584827,endothelial_HSPG2_mural_ITGB1
Olig,microglia,OMG,TNFRSF1B,7.340246396211149,Olig_OMG_microglia_TNFRSF1B
microglia,endothelial,TGFB1,ENG,6.476772935614862,microglia_TGFB1_endothelial_ENG
microglia,mural,TGFB1,ENG,3.1749609976892117,microglia_TGFB1_mural_ENG
mural,endothelial,TGFB1,ENG,5.57451762084014,mural_TGFB1_endothelial_ENG
mural,OPC,TNXB,SDC4,3.6509944467372866,mural_TNXB_OPC_SDC4
mural,astrocytes,TNXB,SDC4,7.879641898391287,mural_TNXB_astrocytes_SDC4
mural,endothelial,TNXB,SDC4,8.022859980861725,mural_TNXB_endothelial_SDC4
microglia,mural,CD14,ITGB1,5.893511417283927,microglia_CD14_mural_ITGB1
endothelial,mural,DLL4,NOTCH3,3.2684136221884366,endothelial_DLL4_mural_NOTCH3
astrocytes,endothelial,VEGFA,FLT1,4.291288922457009,astrocytes_VEGFA_endothelial_FLT1
astrocytes,mural,VEGFA,FLT1,4.319987724102418,astrocytes_VEGFA_mural_FLT1
Olig,mural,COL4A2,ITGA1,6.265200168456122,Olig_COL4A2_mural_ITGA1
