cell,cluster,x,y
cell_389,L6-eNeuron,5798.97,-432.49
cell_390,L6-eNeuron,5773.97,-1147.6
cell_391,L6-eNeuron,5739.27,-303.16
cell_392,L5-eNeuron,5693.07,-808.9
cell_393,L4-eNeuron,5669.27,-1609.4
cell_394,Lhx6-iNeuron,5664.17,-1101.1
cell_395,L5-eNeuron,5647.17,-972.21
cell_396,L2-L3-eNeuron,5623.87,-1185.6
cell_397,L5-eNeuron,5615.97,-1413.4
cell_398,L5-eNeuron,5614.07,-1297.3
cell_399,endothelial,5605.77,-762.65
cell_400,L6-eNeuron,5595.37,-430.62
cell_401,L5-eNeuron,5576.57,-1702.9
cell_402,L6-eNeuron,5568.87,-592.77
cell_403,L6-eNeuron,5567.07,-1867
cell_404,mural,5544.67,-1413.6
cell_405,L6-eNeuron,5525.57,-1781.4
cell_406,L6-eNeuron,5533.77,-1137.3
cell_407,L5-eNeuron,5502.67,-422.92
cell_408,endothelial,5495.17,-1050.7
cell_409,L6-eNeuron,5479.57,-1219.8
cell_410,Olig,5454.17,-843.53
cell_411,L2-L3-eNeuron,5444.27,-1895.4
cell_412,Lhx6-iNeuron,5396.57,-447.82
cell_413,L6-eNeuron,5395.87,-538.71
cell_414,L6-eNeuron,5386.37,-1185.9
cell_415,L5-eNeuron,5359.97,-972.19
cell_416,Lhx6-iNeuron,5360.37,-325.14
cell_417,L6-eNeuron,5388.07,-1581.5
cell_418,L5-eNeuron,5350.27,-1802.9
cell_419,L6-eNeuron,5294.27,-1108.7
cell_420,L6-eNeuron,6633.67,-1596.6
cell_421,L6-eNeuron,6480.8,-1298.9
cell_422,Lhx6-iNeuron,6408.49,-1352.2
cell_423,Olig,7552.12,429.62
cell_424,astrocytes,7530.35,184.72
cell_425,OPC,7502.43,609.95
cell_426,OPC,7488.42,262.72
cell_427,astrocytes,7461.32,-58.0799999999999
cell_428,OPC,7395.16,650.18
cell_429,Olig,7398.69,800.32
cell_430,endothelial,7390.71,-97.78
cell_431,Olig,7360.07,388.12
cell_432,OPC,7318.74,581.52
cell_433,endothelial,7295.59,6.81999999999994
cell_434,Olig,7248.82,72.52
cell_435,L5-eNeuron,7261.23,-231.48
cell_436,L6-eNeuron,7234.12,788.95
cell_437,L6-eNeuron,7211.56,-19.28
cell_438,endothelial,7209.17,-310.28
cell_439,L6-eNeuron,7160.63,295.62
cell_440,L6-eNeuron,7137.62,36.9200000000001
cell_441,L6-eNeuron,7124.44,843.65
cell_442,L6-eNeuron,7108.25,-24.5799999999999
cell_443,endothelial,7100.08,525.3
cell_444,L6-eNeuron,7015.45,458.09
cell_445,L6-eNeuron,7023.28,865.12
cell_446,L6-eNeuron,7003.05,238.12
cell_447,L5-eNeuron,6944.04,385.52
cell_448,OPC,6918.81,-38.78
cell_449,Olig,6895.21,412.42
cell_450,L6-eNeuron,6875.36,-256.58
cell_451,microglia,6870.82,681.8
cell_452,L6-eNeuron,6881.56,91.3199999999999
cell_453,Olig,6838.85,423.02
cell_454,L6-eNeuron,6825.93,223.82
cell_455,L6-eNeuron,6789.47,-72.98
cell_456,endothelial,6729.67,-266.48
cell_457,L6-eNeuron,6732.57,923.04
cell_458,L6-eNeuron,6716.77,297.22
cell_459,astrocytes,6690.27,1077.03
cell_460,astrocytes,6669.17,-19.48
cell_461,mural,6665.47,714.33
cell_462,endothelial,6624.57,889.06
cell_463,L6-eNeuron,6615.87,1036.35
cell_464,L6-eNeuron,6621.07,-312.98
cell_465,L6-eNeuron,6615.17,788.88
cell_466,L6-eNeuron,6571.67,847.55
cell_467,L5-eNeuron,6541.77,48.72
cell_468,L6-eNeuron,6536.77,733.59
cell_469,OPC,6528.47,787.31
cell_470,L6-eNeuron,6520.87,1004.28
cell_471,L6-eNeuron,6467.07,1080.17
cell_472,L6-eNeuron,6467.47,-88.78
cell_473,microglia,6453.07,689.88
cell_474,L6-eNeuron,6408.47,826.31
cell_475,L6-eNeuron,6368.87,-221.88
cell_476,L6-eNeuron,6358.77,379.52
cell_477,L6-eNeuron,6360.87,-35.3800000000001
cell_478,L6-eNeuron,6338.87,85.6199999999999
cell_479,L5-eNeuron,6329.07,225.72
cell_480,L5-eNeuron,6312.77,871.45
cell_481,Adarb2-iNeuron,6297.37,979.4
cell_482,microglia,6205.07,-130.38
cell_483,L6-eNeuron,6202.27,360.72
cell_484,mural,6139.57,-28.98
cell_485,Lhx6-iNeuron,6130.87,240.42
cell_486,OPC,7421.66,563.61
cell_487,astrocytes,7384.47,500.31
cell_488,Olig,7342.48,921.66
cell_489,L6-eNeuron,7253.27,936.48
cell_490,Olig,7253.4,263.72
cell_491,astrocytes,7237.37,200.32
cell_492,L6-eNeuron,7224.04,382.12
cell_493,L6-eNeuron,7206.83,631.2
cell_494,L5-eNeuron,7125.99,167.42
cell_495,L6-eNeuron,6992.58,103.02
cell_496,Adarb2-iNeuron,6704.27,-124.68
cell_497,L6-eNeuron,6666.77,378.82
cell_498,L6-eNeuron,6589.07,505.09
cell_499,L6-eNeuron,6560.97,-105.98
cell_500,L5-eNeuron,6521.87,357.02
cell_501,L6-eNeuron,6515.97,590.03
cell_502,L6-eNeuron,6482.57,798.99
cell_503,L6-eNeuron,6399.67,-153.58
cell_504,L6-eNeuron,6395.27,-311.48
cell_505,astrocytes,6290.07,-200.78
cell_506,L5-eNeuron,6285.57,547.12
cell_507,OPC,6252.67,678.91
cell_508,L6-eNeuron,6241.27,787.18
cell_509,Lhx6-iNeuron,6256.27,-289.88
cell_510,Olig,6207.27,565.81
cell_511,L6-eNeuron,6139.17,670.56
cell_512,astrocytes,7406.31,1036.95
cell_513,L6-eNeuron,6847.45,1179.46
cell_514,L6-eNeuron,6662.67,1207.87
cell_515,L6-eNeuron,6645.07,-519.38
cell_516,L5-eNeuron,6367.17,1240.76
cell_517,L5-eNeuron,6132.47,1002.12
cell_518,L6-eNeuron,6036.27,966.46
cell_519,L6-eNeuron,6028.17,798.77
cell_520,L6-eNeuron,5980.97,308.12
cell_521,L6-eNeuron,5931.57,1141.04
cell_522,L6-eNeuron,5921.07,981.4
cell_523,L6-eNeuron,5899.27,382.42
